quarter,actual_pi,fitted_pi,contrib_expectations,contrib_tightness,contrib_supply,contrib_const,residual,vu,gscpi,cle1y
2019-10-01,2.515,2.311,1.709,0.016,0.025,0.56,0.205,1.187,0.085,1.709
2020-01-01,2.304,2.35,1.477,-0.081,0.395,0.56,-0.046,1.061,1.318,1.477
2020-04-01,-2.069,0.831,0.081,-0.628,0.817,0.56,-2.899,0.265,2.729,0.081
2020-07-01,3.864,2.177,1.611,-0.495,0.501,0.56,1.687,0.46,1.673,1.611
2020-10-01,2.42,1.924,1.489,-0.38,0.255,0.56,0.496,0.627,0.851,1.489
2021-01-01,1.485,2.391,1.545,-0.273,0.559,0.56,-0.906,0.782,1.867,1.545
2021-04-01,6.899,3.217,1.893,-0.097,0.861,0.56,3.681,1.039,2.875,1.893
2021-07-01,5.08,4.303,2.407,0.365,0.971,0.56,0.777,1.328,3.243,2.407
2021-10-01,6.121,5.346,2.318,1.192,1.275,0.56,0.774,1.664,4.259,2.318
2022-01-01,6.455,5.83,2.642,1.686,0.942,0.56,0.625,1.864,3.144,2.642
2022-04-01,5.764,7.04,3.751,1.853,0.875,0.56,-1.276,1.932,2.92,3.751
2022-07-01,5.988,6.307,3.622,1.684,0.441,0.56,-0.319,1.863,1.474,3.622
2022-10-01,5.034,5.489,2.996,1.558,0.375,0.56,-0.455,1.812,1.251,2.996
2023-01-01,4.763,4.249,2.455,1.265,-0.031,0.56,0.514,1.693,-0.104,2.455
2023-04-01,4.621,3.421,2.224,1.036,-0.399,0.56,1.2,1.6,-1.332,2.224
2023-07-01,2.839,3.641,2.631,0.717,-0.267,0.56,-0.802,1.471,-0.891,2.631
2023-10-01,3.415,3.829,2.884,0.423,-0.038,0.56,-0.414,1.351,-0.127,2.884
2024-01-01,4.09,3.087,2.31,0.307,-0.09,0.56,1.004,1.305,-0.301,2.31
2024-04-01,3.139,3.129,2.789,-0.03,-0.19,0.56,0.01,1.137,-0.635,2.789
2024-07-01,2.211,2.871,2.38,-0.095,0.026,0.56,-0.66,1.042,0.088,2.38
2024-10-01,3.415,2.833,2.446,-0.082,-0.092,0.56,0.582,1.061,-0.306,2.446
2025-01-01,3.353,2.928,2.513,-0.107,-0.039,0.56,0.425,1.025,-0.129,2.513
2025-04-01,2.136,3.107,2.653,-0.119,0.013,0.56,-0.971,1.007,0.043,2.653
2025-07-01,3.161,3.156,2.761,-0.157,-0.008,0.56,0.005,0.951,-0.027,2.761
2025-10-01,2.213,3.274,2.875,-0.194,0.033,0.56,-1.061,0.897,0.11,2.875
2026-01-01,2.48,3.057,2.489,-0.159,0.166,0.56,-0.576,0.949,0.554,2.489
