end,kappa,se
1969-10-01,-0.4069,0.1259
1970-01-01,-0.4076,0.1233
1970-04-01,-0.404,0.1229
1970-07-01,-0.4007,0.1205
1970-10-01,-0.3931,0.1192
1971-01-01,-0.4158,0.1187
1971-04-01,-0.41,0.1141
1971-07-01,-0.3903,0.1097
1971-10-01,-0.389,0.1089
1972-01-01,-0.3853,0.1096
1972-04-01,-0.3898,0.1092
1972-07-01,-0.3912,0.1091
1972-10-01,-0.391,0.11
1973-01-01,-0.4509,0.124
1973-04-01,-0.4915,0.1534
1973-07-01,-0.4172,0.1168
1973-10-01,-0.4071,0.124
1974-01-01,-0.3987,0.133
1974-04-01,-0.3973,0.1346
1974-07-01,-0.4086,0.1325
1974-10-01,-0.4037,0.1313
1975-01-01,-0.4819,0.142
1975-04-01,-0.6711,0.229
1975-07-01,-0.642,0.2057
1975-10-01,-0.6559,0.1811
1976-01-01,-0.6961,0.1787
1976-04-01,-0.7175,0.1825
1976-07-01,-0.7133,0.1743
1976-10-01,-0.6784,0.1819
1977-01-01,-0.6265,0.2038
1977-04-01,-0.6039,0.2145
1977-07-01,-0.6103,0.2088
1977-10-01,-0.6109,0.2073
1978-01-01,-0.6087,0.2086
1978-04-01,-0.5985,0.2147
1978-07-01,-0.5971,0.2168
1978-10-01,-0.5928,0.2203
1979-01-01,-0.5912,0.2225
1979-04-01,-0.5878,0.2296
1979-07-01,-0.5834,0.2359
1979-10-01,-0.5798,0.2377
1980-01-01,-0.5596,0.2485
1980-04-01,-0.5507,0.2433
1980-07-01,-0.6549,0.2317
1980-10-01,-0.6679,0.2307
1981-01-01,-0.6619,0.2301
1981-04-01,-0.6861,0.2321
1981-07-01,-0.6632,0.2348
1981-10-01,-0.7356,0.2283
1982-01-01,-0.879,0.2378
1982-04-01,-0.8771,0.2206
1982-07-01,-0.7918,0.2123
1982-10-01,-0.8192,0.1936
1983-01-01,-0.8488,0.1851
1983-04-01,-0.7854,0.1915
1983-07-01,-0.7487,0.2037
1983-10-01,-0.7418,0.2156
1984-01-01,-0.7509,0.2276
1984-04-01,-0.7668,0.2377
1984-07-01,-0.8122,0.2413
1984-10-01,-0.8515,0.2491
1985-01-01,-0.8784,0.2545
1985-04-01,-0.9103,0.2529
1985-07-01,-0.9538,0.2507
1985-10-01,-0.9584,0.2493
1986-01-01,-0.9824,0.2468
1986-04-01,-1.0078,0.2531
1986-07-01,-1.0158,0.2501
1986-10-01,-1.0365,0.2448
1987-01-01,-1.0615,0.2398
1987-04-01,-1.0985,0.2382
1987-07-01,-1.1166,0.2406
1987-10-01,-1.1136,0.2454
1988-01-01,-1.0741,0.2508
1988-04-01,-1.0226,0.2474
1988-07-01,-1.0156,0.2546
1988-10-01,-0.971,0.2568
1989-01-01,-0.9121,0.2549
1989-04-01,-0.9324,0.2598
1989-07-01,-0.8804,0.2627
1989-10-01,-0.8496,0.2603
1990-01-01,-0.8506,0.2494
1990-04-01,-0.7495,0.2295
1990-07-01,-0.7657,0.2318
1990-10-01,-0.77,0.2356
1991-01-01,-0.7565,0.2356
1991-04-01,-0.7527,0.2363
1991-07-01,-0.7629,0.2406
1991-10-01,-0.7685,0.2423
1992-01-01,-0.7734,0.2431
1992-04-01,-0.7605,0.2379
1992-07-01,-0.7533,0.2319
1992-10-01,-0.7481,0.2288
1993-01-01,-0.7469,0.2285
1993-04-01,-0.7206,0.224
1993-07-01,-0.7004,0.2218
1993-10-01,-0.6891,0.2217
1994-01-01,-0.6787,0.2221
1994-04-01,-0.6341,0.2105
1994-07-01,-0.611,0.2038
1994-10-01,-0.589,0.2008
1995-01-01,-0.5489,0.1926
1995-04-01,-0.5529,0.1926
1995-07-01,-0.523,0.1914
1995-10-01,-0.5167,0.1916
1996-01-01,-0.5241,0.1914
1996-04-01,-0.5261,0.1913
1996-07-01,-0.5203,0.1912
1996-10-01,-0.49,0.1817
1997-01-01,-0.3925,0.1576
1997-04-01,-0.3472,0.1713
1997-07-01,-0.3879,0.2127
1997-10-01,-0.2213,0.173
1998-01-01,0.0079,0.1936
1998-04-01,-0.0669,0.2047
1998-07-01,-0.1369,0.2103
1998-10-01,-0.2318,0.1869
1999-01-01,-0.3187,0.1807
1999-04-01,-0.3427,0.1827
1999-07-01,-0.3482,0.1844
1999-10-01,-0.3454,0.1828
2000-01-01,-0.3725,0.1875
2000-04-01,-0.3621,0.1847
2000-07-01,-0.3444,0.18
2000-10-01,-0.3317,0.187
2001-01-01,-0.3128,0.18
2001-04-01,-0.1894,0.1792
2001-07-01,-0.189,0.1804
2001-10-01,-0.2326,0.1752
2002-01-01,-0.2839,0.1729
2002-04-01,-0.266,0.1712
2002-07-01,-0.2523,0.17
2002-10-01,-0.2377,0.1682
2003-01-01,-0.2153,0.1707
2003-04-01,-0.2739,0.1695
2003-07-01,-0.2381,0.1616
2003-10-01,-0.2403,0.1623
2004-01-01,-0.2218,0.1611
2004-04-01,-0.181,0.1646
2004-07-01,-0.2161,0.1634
2004-10-01,-0.2209,0.1648
2005-01-01,-0.1842,0.1647
2005-04-01,-0.2018,0.1684
2005-07-01,-0.2104,0.1638
2005-10-01,-0.2144,0.1665
2006-01-01,-0.153,0.1447
2006-04-01,-0.0991,0.1237
2006-07-01,-0.0613,0.1182
2006-10-01,0.0426,0.1676
2007-01-01,0.0168,0.1533
2007-04-01,-0.0303,0.1499
2007-07-01,-0.033,0.1609
2007-10-01,-0.0845,0.1694
2008-01-01,-0.0808,0.18
2008-04-01,-0.0583,0.1906
2008-07-01,0.0772,0.2068
2008-10-01,-0.9104,0.808
2009-01-01,-1.0327,0.6475
2009-04-01,-0.5096,0.3992
2009-07-01,-0.1088,0.4032
2009-10-01,0.1516,0.3983
2010-01-01,0.0935,0.3044
2010-04-01,0.0047,0.2593
2010-07-01,-0.0101,0.2309
2010-10-01,0.0402,0.189
2011-01-01,0.0983,0.1655
2011-04-01,0.1367,0.1573
2011-07-01,0.1158,0.1448
2011-10-01,0.0872,0.1433
2012-01-01,0.0702,0.1436
2012-04-01,0.0379,0.1503
2012-07-01,0.0353,0.1472
2012-10-01,0.0432,0.1416
2013-01-01,0.0332,0.1409
2013-04-01,0.0169,0.1462
2013-07-01,0.0252,0.1441
2013-10-01,0.0282,0.1447
2014-01-01,0.0319,0.1446
2014-04-01,0.0463,0.1432
2014-07-01,0.057,0.1447
2014-10-01,0.0722,0.1486
2015-01-01,0.1039,0.1522
2015-04-01,0.0973,0.1535
2015-07-01,0.0983,0.1564
2015-10-01,0.0952,0.1613
2016-01-01,0.1084,0.1651
2016-04-01,0.0883,0.1686
2016-07-01,0.0627,0.1684
2016-10-01,0.0327,0.1677
2017-01-01,0.0206,0.1677
2017-04-01,0.0489,0.1645
2017-07-01,0.0517,0.163
2017-10-01,0.0409,0.1619
2018-01-01,0.033,0.1625
2018-04-01,0.0266,0.1561
2018-07-01,0.0395,0.1528
2018-10-01,0.0467,0.1498
2019-01-01,0.0617,0.1487
2019-04-01,0.0511,0.1468
2019-07-01,0.0541,0.1443
2019-10-01,0.0488,0.1438
2020-01-01,0.0471,0.1418
2020-04-01,-0.1271,0.2007
2020-07-01,-0.0596,0.1712
2020-10-01,-0.054,0.1691
2021-01-01,-0.0619,0.1662
2021-04-01,-0.0646,0.1654
2021-07-01,-0.0725,0.1653
2021-10-01,-0.1408,0.1612
2022-01-01,-0.1426,0.1619
2022-04-01,-0.1389,0.1624
2022-07-01,-0.1094,0.1616
2022-10-01,-0.055,0.1697
2023-01-01,-0.0217,0.1798
2023-04-01,0.0082,0.187
2023-07-01,0.0162,0.1849
2023-10-01,0.0386,0.1854
2024-01-01,0.0656,0.1946
2024-04-01,0.0495,0.1888
2024-07-01,0.0093,0.1743
2024-10-01,-0.0612,0.1674
2025-01-01,-0.0563,0.1747
2025-04-01,-0.0144,0.1919
2025-07-01,-0.0072,0.2057
2025-10-01,-0.0416,0.198
2026-01-01,-0.0938,0.1812
